Date,Open,High,Low,Close,Adj Close,Volume
2009-01-30,102512.640625,107560.960938,102144.000000,107089.921875,107089.921875,200
2009-02-02,110694.398438,110694.398438,106434.562500,106752.000000,106752.000000,300
2009-02-03,106639.359375,106639.359375,101693.437500,101754.882813,101754.882813,100
2009-02-04,100608.000000,102799.359375,99328.000000,102133.757813,102133.757813,100
2009-02-05,104038.398438,106280.960938,100505.601563,101509.117188,101509.117188,200
2009-02-06,101376.000000,101396.476563,97341.437500,100044.796875,100044.796875,100
2009-02-09,100689.921875,102727.679688,100218.882813,101713.921875,101713.921875,100
2009-02-10,103424.000000,108195.843750,101150.718750,107110.398438,107110.398438,200
2009-02-11,106547.203125,107345.921875,104550.398438,105543.679688,105543.679688,0
2009-02-12,107776.000000,110592.000000,105226.242188,105226.242188,105226.242188,0
2009-02-13,105717.757813,105717.757813,103424.000000,104437.757813,104437.757813,100
2009-02-17,109568.000000,113438.718750,108544.000000,109660.156250,109660.156250,0
2009-02-18,107520.000000,112312.320313,107520.000000,110817.281250,110817.281250,0
2009-02-19,110622.718750,111667.203125,108021.757813,110878.718750,110878.718750,0
2009-02-20,114575.359375,119193.601563,114114.562500,116039.679688,116039.679688,100
2009-02-23,113664.000000,122388.476563,113664.000000,122245.117188,122245.117188,0
2009-02-24,122880.000000,122880.000000,110284.796875,110673.921875,110673.921875,100
2009-02-25,111892.476563,115752.960938,107663.359375,110028.796875,110028.796875,100
2009-02-26,108523.523438,112035.843750,105431.039063,111124.476563,111124.476563,0
2009-02-27,116439.039063,116439.039063,108503.039063,111278.078125,111278.078125,100
2009-03-02,113684.476563,120852.476563,113684.476563,119183.359375,119183.359375,100
2009-03-03,115763.203125,121395.203125,115763.203125,118681.601563,118681.601563,100
2009-03-04,117749.757813,117749.757813,107304.960938,110397.437500,110397.437500,100
2009-03-05,113254.398438,117749.757813,111114.242188,117043.203125,117043.203125,100
2009-03-06,117739.523438,118384.640625,113356.796875,116101.117188,116101.117188,200
2009-03-09,116275.203125,117248.000000,112906.242188,116551.679688,116551.679688,100
2009-03-10,115712.000000,115712.000000,107171.843750,107868.156250,107868.156250,100
2009-03-11,106496.000000,108748.796875,104611.843750,107069.437500,107069.437500,300
2009-03-12,106854.398438,108236.796875,104376.320313,105205.757813,105205.757813,400
2009-03-13,104652.796875,108021.757813,104417.281250,106752.000000,106752.000000,400
2009-03-16,106496.000000,110612.476563,106096.640625,110510.078125,110510.078125,500
2009-03-17,111595.523438,111923.203125,106465.281250,106680.320313,106680.320313,500
2009-03-18,107622.398438,108656.640625,104550.398438,106946.562500,106946.562500,600
2009-03-19,107417.601563,111964.156250,104448.000000,111964.156250,111964.156250,500
2009-03-20,111124.476563,119664.640625,111104.000000,118743.039063,118743.039063,700
2009-03-23,115712.000000,117504.000000,110909.437500,111226.882813,111226.882813,600
2009-03-24,112138.242188,113592.320313,109086.718750,113049.601563,113049.601563,500
2009-03-25,110643.203125,114319.359375,107673.601563,111247.359375,111247.359375,600
2009-03-26,109250.562500,109260.796875,105656.320313,106864.640625,106864.640625,500
2009-03-27,106977.281250,109987.843750,106977.281250,109885.437500,109885.437500,400
2009-03-30,114688.000000,119244.796875,113827.843750,118056.960938,118056.960938,700
2009-03-31,117145.601563,117739.523438,113971.203125,115927.039063,115927.039063,500
2009-04-01,119838.718750,121845.757813,113254.398438,113838.078125,113838.078125,600
2009-04-02,110592.000000,113623.039063,109045.757813,111974.398438,111974.398438,700
2009-04-03,116787.203125,116787.203125,109404.156250,109998.078125,109998.078125,400
2009-04-06,110991.359375,112476.156250,110438.398438,110612.476563,110612.476563,500
2009-04-07,111503.359375,112640.000000,109598.718750,110602.242188,110602.242188,500
2009-04-08,108298.242188,110888.960938,108134.398438,108318.718750,108318.718750,400
2009-04-09,105472.000000,105728.000000,103157.757813,104304.640625,104304.640625,400
2009-04-13,104980.476563,105994.242188,102359.039063,102778.882813,102778.882813,200
2009-04-14,104222.718750,104581.117188,102338.562500,102850.562500,102850.562500,500
2009-04-15,103444.476563,103444.476563,100208.640625,100352.000000,100352.000000,300
2009-04-16,99328.000000,99870.718750,95979.523438,97187.843750,97187.843750,300
2009-04-17,97269.757813,98918.398438,94781.437500,94955.523438,94955.523438,400
2009-04-20,96860.156250,102522.882813,96092.156250,101980.156250,101980.156250,600
2009-04-21,102819.843750,103495.679688,97904.640625,98375.679688,98375.679688,200
2009-04-22,99532.796875,99532.796875,94525.437500,98580.476563,98580.476563,300
2009-04-23,98211.843750,99942.398438,97136.640625,98129.921875,98129.921875,300
2009-04-24,97699.843750,98887.679688,96552.960938,97904.640625,97904.640625,200
2009-04-27,98293.757813,101140.476563,98088.960938,100679.679688,100679.679688,300
2009-04-28,101703.679688,102236.156250,98263.039063,99440.640625,99440.640625,300
2009-04-29,99133.437500,99133.437500,93491.203125,95252.476563,95252.476563,200
2009-04-30,95057.921875,96522.242188,92375.039063,96010.242188,96010.242188,300
2009-05-01,95805.437500,97208.320313,94003.203125,94781.437500,94781.437500,100
2009-05-04,93132.796875,94167.039063,89456.640625,89733.117188,89733.117188,400
2009-05-05,89968.640625,91740.156250,89968.640625,90501.117188,90501.117188,300
2009-05-06,89835.523438,89835.523438,86999.039063,87388.156250,87388.156250,100
