Date,SKEW,,
1/2/1990,126.09,,
1/3/1990,123.34,,
1/4/1990,122.62,,
1/5/1990,121.27,,
1/8/1990,124.12,,
1/9/1990,119.82,,
1/10/1990,120.82,,
1/11/1990,107.48,,
1/12/1990,116.78,,
1/15/1990,116.16,,
1/16/1990,120.62,,
1/17/1990,123.03,,
1/18/1990,131.14,,
1/19/1990,129.31,,
1/22/1990,118.95,,
1/23/1990,117.94,,
1/24/1990,128.75,,
1/25/1990,124.33,,
1/26/1990,122.76,,
1/29/1990,124.6,,
1/30/1990,120.91,,
1/31/1990,128.22,,
2/1/1990,129.53,,
2/2/1990,132.53,,
2/5/1990,121.22,,
2/6/1990,120.3,,
2/7/1990,123.35,,
2/8/1990,124.87,,
2/9/1990,126.06,,
2/12/1990,126.99,,
2/13/1990,133.06,,
2/14/1990,131.55,,
2/15/1990,139.07,,
2/16/1990,136.61,,
2/20/1990,126.47,,
2/21/1990,129.17,,
2/22/1990,124.8,,
2/23/1990,125.82,,
2/26/1990,130.69,,
2/27/1990,131.45,,
2/28/1990,123.1,,
3/1/1990,123.96,,
3/2/1990,126.44,,
3/5/1990,124.24,,
3/6/1990,124.86,,
3/7/1990,121.08,,
3/8/1990,124.46,,
3/9/1990,125.6,,
3/12/1990,129.69,,
3/13/1990,128.07,,
3/14/1990,131.82,,
3/15/1990,133.02,,
3/16/1990,136.73,,
3/19/1990,138.69,,
3/20/1990,134.2,,
3/21/1990,132.58,,
3/22/1990,129.8,,
3/23/1990,130.76,,
3/26/1990,129.9,,
3/27/1990,135.33,,
3/28/1990,133.51,,
3/29/1990,131.2,,
3/30/1990,111.33,,
4/2/1990,126.46,,
4/3/1990,117.63,,
4/4/1990,114.13,,
4/5/1990,114.42,,
4/6/1990,114.91,,
4/9/1990,117.6,,
4/10/1990,119.09,,
4/11/1990,108.87,,
4/12/1990,121.52,,
4/16/1990,126.05,,
4/17/1990,131.24,,
4/18/1990,122.74,,
4/19/1990,120.77,,
4/20/1990,120.88,,
4/23/1990,120.03,,
4/24/1990,124.56,,
4/25/1990,127.03,,
4/26/1990,124.51,,
4/27/1990,118.84,,
4/30/1990,110.49,,
5/1/1990,111.99,,
5/2/1990,128.49,,
5/3/1990,114.27,,
5/4/1990,116.35,,
5/7/1990,117.22,,
5/8/1990,117.83,,
5/9/1990,117.27,,
5/10/1990,119.5,,
5/11/1990,119.51,,
5/14/1990,123.12,,
5/15/1990,125.1,,
5/16/1990,125.7,,
5/17/1990,121.95,,
5/18/1990,124.68,,
5/21/1990,127.35,,
5/22/1990,124.88,,
5/23/1990,118.8,,
5/24/1990,117.3,,
5/25/1990,111.93,,
5/29/1990,122.18,,
5/30/1990,119.88,,
5/31/1990,120.21,,
6/1/1990,119.33,,
6/4/1990,122.78,,
6/5/1990,121.22,,
6/6/1990,121.45,,
6/7/1990,123.99,,
6/8/1990,122.13,,
6/11/1990,132.14,,
6/12/1990,132.61,,
6/13/1990,131.51,,
6/14/1990,132.45,,
6/15/1990,138.31,,
6/18/1990,133.31,,
6/19/1990,136.21,,
6/20/1990,139.12,,
6/21/1990,142.57,,
6/22/1990,139.62,,
6/25/1990,106.8,,
6/26/1990,104.65,,
6/27/1990,106.54,,
6/28/1990,107.42,,
6/29/1990,107.31,,
7/2/1990,108.16,,
7/3/1990,107.62,,
7/5/1990,105.08,,
7/6/1990,107.27,,
7/9/1990,106.5,,
7/10/1990,105.19,,
7/11/1990,107.84,,
7/12/1990,109.71,,
7/13/1990,109.33,,
7/16/1990,108.65,,
7/17/1990,107.65,,
7/18/1990,133.75,,
7/19/1990,137.94,,
7/20/1990,109.71,,
7/23/1990,127.13,,
7/24/1990,127.61,,
7/25/1990,130.85,,
7/26/1990,131,,
7/27/1990,127.62,,
7/30/1990,132.44,,
7/31/1990,132.07,,
8/1/1990,131.01,,
8/2/1990,110.08,,
8/3/1990,119.6,,
8/6/1990,114.65,,
8/7/1990,119.09,,
8/8/1990,125.19,,
8/9/1990,128.9,,
8/10/1990,123.01,,
8/13/1990,119.34,,
8/14/1990,120.52,,
8/15/1990,120.04,,
8/16/1990,117.18,,
8/17/1990,117.36,,
