Date,Open,Close,,,
1/2/1986,17.93,18.07,,,
1/3/1986,19.04,17.96,,,
1/6/1986,17.99,17.05,,,
1/7/1986,18.01,17.39,,,
1/8/1986,18.04,19.97,,,
1/9/1986,19.11,20.2,,,
1/10/1986,20.69,18.45,,,
1/13/1986,18.91,18.8,,,
1/14/1986,18.6,18.06,,,
1/15/1986,18.46,18.87,,,
1/16/1986,18.83,18.58,,,
1/17/1986,19.45,17.99,,,
1/20/1986,18.15,17.09,,,
1/21/1986,17.38,16.86,,,
1/22/1986,17.16,16.66,,,
1/23/1986,17.32,17.14,,,
1/24/1986,17.46,17.22,,,
1/27/1986,17.36,17.38,,,
1/28/1986,17.71,17.47,,,
1/29/1986,18.55,18.76,,,
1/30/1986,19.6,19.12,,,
1/31/1986,19.45,19.58,,,
2/3/1986,20.61,19.41,,,
2/4/1986,19.86,20.82,,,
2/5/1986,20.76,20.72,,,
2/6/1986,21.49,21.07,,,
2/7/1986,21.77,22.12,,,
2/10/1986,21.14,20.4,,,
2/11/1986,21.12,20.23,,,
2/12/1986,20.82,19.53,,,
2/13/1986,20.02,18.13,,,
2/14/1986,19.31,17.96,,,
2/18/1986,19.67,19.79,,,
2/19/1986,20.38,20.72,,,
2/20/1986,20.5,20.76,,,
2/21/1986,21.16,21.27,,,
2/24/1986,21.58,21.52,,,
2/25/1986,21.95,22.05,,,
2/26/1986,22.81,22.38,,,
2/27/1986,22.29,21.39,,,
2/28/1986,21.65,21.59,,,
3/3/1986,21.88,21.17,,,
3/4/1986,21.84,19.94,,,
3/5/1986,20.76,20.42,,,
3/6/1986,21.21,21.66,,,
3/7/1986,22.02,21.39,,,
3/10/1986,22.3,21.49,,,
3/11/1986,22.01,21.87,,,
3/12/1986,21.93,23.14,,,
3/13/1986,23.93,24.29,,,
3/14/1986,25.01,24.83,,,
3/17/1986,26.19,25.45,,,
3/18/1986,26.47,26.27,,,
3/19/1986,26.55,25.82,,,
3/20/1986,26.87,26.52,,,
3/21/1986,27.13,26.91,,,
3/24/1986,26.02,24.01,,,
3/25/1986,25.12,24.4,,,
3/26/1986,25.02,24.81,,,
3/27/1986,24.94,23.56,,,
3/31/1986,24.39,23.33,,,
4/1/1986,24.15,24.7,,,
4/2/1986,25.08,24.21,,,
4/3/1986,24.56,24.66,,,
4/4/1986,25.26,23.97,,,
4/7/1986,24.27,23.52,,,
4/8/1986,23.99,24.08,,,
